PassengerId,Survived,Age,SibSp
1,0,22.0,1
2,1,38.0,1
3,1,26.0,0
4,1,35.0,1
5,0,35.0,0
6,0,,0
7,0,54.0,0
8,0,2.0,3
9,1,27.0,0
10,1,14.0,1
11,1,4.0,1
12,1,58.0,0
13,0,20.0,0
14,0,39.0,1
15,0,14.0,0
16,1,55.0,0
17,0,2.0,4
18,1,,0
19,0,31.0,1
20,1,,0
21,0,35.0,0
22,1,34.0,0
23,1,15.0,0
24,1,28.0,0
25,0,8.0,3
26,1,38.0,1
27,0,,0
28,0,19.0,3
29,1,,0
30,0,,0
31,0,40.0,0
32,1,,1
33,1,,0
34,0,66.0,0
35,0,28.0,1
36,0,42.0,1
37,1,,0
38,0,21.0,0
39,0,18.0,2
40,1,14.0,1
41,0,40.0,1
42,0,27.0,1
43,0,,0
44,1,3.0,1
45,1,19.0,0
46,0,,0
47,0,,1
48,1,,0
49,0,,2
50,0,18.0,1
51,0,7.0,4
52,0,21.0,0
53,1,49.0,1
54,1,29.0,1
55,0,65.0,0
56,1,,0
57,1,21.0,0
58,0,28.5,0
59,1,5.0,1
60,0,11.0,5
61,0,22.0,0
62,1,38.0,0
63,0,45.0,1
64,0,4.0,3
65,0,,0
66,1,,1
67,1,29.0,0
68,0,19.0,0
69,1,17.0,4
70,0,26.0,2
71,0,32.0,0
72,0,16.0,5
73,0,21.0,0
74,0,26.0,1
75,1,32.0,0
76,0,25.0,0
77,0,,0
78,0,,0
79,1,0.83,0
80,1,30.0,0
81,0,22.0,0
82,1,29.0,0
83,1,,0
84,0,28.0,0
85,1,17.0,0
86,1,33.0,3
87,0,16.0,1
88,0,,0
89,1,23.0,3
90,0,24.0,0
91,0,29.0,0
92,0,20.0,0
93,0,46.0,1
94,0,26.0,1
95,0,59.0,0
96,0,,0
97,0,71.0,0
98,1,23.0,0
99,1,34.0,0
100,0,34.0,1
101,0,28.0,0
102,0,,0
103,0,21.0,0
104,0,33.0,0
105,0,37.0,2
106,0,28.0,0
107,1,21.0,0
108,1,,0
109,0,38.0,0
110,1,,1
111,0,47.0,0
112,0,14.5,1
113,0,22.0,0
114,0,20.0,1
115,0,17.0,0
116,0,21.0,0
117,0,70.5,0
118,0,29.0,1
119,0,24.0,0
120,0,2.0,4
121,0,21.0,2
122,0,,0
123,0,32.5,1
124,1,32.5,0
125,0,54.0,0
126,1,12.0,1
127,0,,0
128,1,24.0,0
129,1,,1
130,0,45.0,0
131,0,33.0,0
132,0,20.0,0
133,0,47.0,1
134,1,29.0,1
135,0,25.0,0
136,0,23.0,0
137,1,19.0,0
138,0,37.0,1
139,0,16.0,0
140,0,24.0,0
141,0,,0
142,1,22.0,0
143,1,24.0,1
144,0,19.0,0
145,0,18.0,0
146,0,19.0,1
147,1,27.0,0
148,0,9.0,2
149,0,36.5,0
150,0,42.0,0
151,0,51.0,0
152,1,22.0,1
153,0,55.5,0
154,0,40.5,0
155,0,,0
156,0,51.0,0
157,1,16.0,0
158,0,30.0,0
159,0,,0
160,0,,8
161,0,44.0,0
162,1,40.0,0
163,0,26.0,0
164,0,17.0,0
165,0,1.0,4
166,1,9.0,0
167,1,,0
168,0,45.0,1
169,0,,0
170,0,28.0,0
171,0,61.0,0
172,0,4.0,4
173,1,1.0,1
174,0,21.0,0
175,0,56.0,0
176,0,18.0,1
177,0,,3
178,0,50.0,0
179,0,30.0,0
180,0,36.0,0
181,0,,8
182,0,,0
183,0,9.0,4
184,1,1.0,2
185,1,4.0,0
186,0,,0
187,1,,1
188,1,45.0,0
189,0,40.0,1
190,0,36.0,0
191,1,32.0,0
192,0,19.0,0
193,1,19.0,1
194,1,3.0,1
195,1,44.0,0
196,1,58.0,0
197,0,,0
198,0,42.0,0
199,1,,0
200,0,24.0,0
201,0,28.0,0
202,0,,8
203,0,34.0,0
204,0,45.5,0
205,1,18.0,0
206,0,2.0,0
207,0,32.0,1
208,1,26.0,0
209,1,16.0,0
210,1,40.0,0
211,0,24.0,0
212,1,35.0,0
213,0,22.0,0
214,0,30.0,0
215,0,,1
216,1,31.0,1
217,1,27.0,0
218,0,42.0,1
219,1,32.0,0
220,0,30.0,0
221,1,16.0,0
222,0,27.0,0
223,0,51.0,0
224,0,,0
225,1,38.0,1
226,0,22.0,0
227,1,19.0,0
228,0,20.5,0
229,0,18.0,0
230,0,,3
231,1,35.0,1
232,0,29.0,0
233,0,59.0,0
234,1,5.0,4
235,0,24.0,0
236,0,,0
237,0,44.0,1
238,1,8.0,0
239,0,19.0,0
240,0,33.0,0
241,0,,1
242,1,,1
243,0,29.0,0
244,0,22.0,0
245,0,30.0,0
246,0,44.0,2
247,0,25.0,0
248,1,24.0,0
249,1,37.0,1
250,0,54.0,1
251,0,,0
252,0,29.0,1
253,0,62.0,0
254,0,30.0,1
255,0,41.0,0
256,1,29.0,0
257,1,,0
258,1,30.0,0
259,1,35.0,0
260,1,50.0,0
261,0,,0
262,1,3.0,4
263,0,52.0,1
264,0,40.0,0
265,0,,0
266,0,36.0,0
267,0,16.0,4
268,1,25.0,1
269,1,58.0,0
270,1,35.0,0
